casenumber,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer,unique_id,violent_cat,property_cat
2023-00502644,100 Block N PARK ST,2023-11-27T15:52:39.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,2023-00502644-001,None,Larceny-theft
2023-00502643,300 Block BROADWAY,2023-11-27T15:18:47.000,11,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,NField,2023-00502643-001,None,None
2023-00502642,200 Block CHAD BROWN,2023-11-27T10:16:17.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502642-001,None,None
2023-00502641,0 Block RING,2023-11-27T09:48:38.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,2023-00502641-001,None,None
2023-00097151,0 Block VANDEWATER ST,2023-11-27T01:35:00.000,11,2023,"Assault,Felony",Not Used,"Under Investigation, Offense Pending",0,LPrete,2023-00097151-001,Aggravated Assault,None
2023-00502637,100 Block COOMER HILL RD,2023-11-26T15:05:01.000,11,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,NField,2023-00502637-001,None,None
2023-00096978,0 Block VANDEWATER ST,2023-11-26T03:27:00.000,11,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,MCarlone,2023-00096978-001,None,None
2023-00096918,ALLENS AVE,2023-11-26T00:00:00.000,11,2023,Motor Vehicle Violation,Not Used,No Violations,0,RByfield,2023-00096918-001,None,None
2023-00096870,0 Block CRANDALL ST,2023-11-25T19:42:00.000,11,2023,Traffic Violation,31-3-1,Operation of Unregistered Vehicle,1,RAbenante,2023-00096870-001,None,None
2023-00096870,0 Block CRANDALL ST,2023-11-25T19:42:00.000,11,2023,Traffic Violation,31-47-9,Operating a MV without Evidence of Insurance,1,RAbenante,2023-00096870-002,None,None
2023-00096870,0 Block CRANDALL ST,2023-11-25T19:42:00.000,11,2023,Traffic Violation,31-14-1,Failure to Maintain Control,1,RAbenante,2023-00096870-003,None,None
2023-00096870,0 Block CRANDALL ST,2023-11-25T19:42:00.000,11,2023,DUI,31-27-2,Driving Under the Influence of Liqour or Drugs (=>.08<.1),1,RAbenante,2023-00096870-004,None,None
2023-00502634,0 Block MALBONE,2023-11-25T08:39:08.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,2023-00502634-001,None,None
2023-00502633,SPRUCE ST,2023-11-25T01:23:50.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MTroia,2023-00502633-001,None,Larceny-theft
2023-00096498,600 Block PLEASANT VALLEY PKY,2023-11-24T11:35:00.000,11,2023,Burglary,11-8-2,B&E DWELLING HOUSE W/O CONSENT,1,GScarcello,2023-00096498-001,None,Burglary
2023-00502623,0 Block WHITEHALL,2023-11-23T21:57:24.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,2023-00502623-001,None,None
2023-00502619,0 Block RUTLAND ST,2023-11-23T07:47:36.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,2023-00502619-001,None,None
2023-00096169,CANAL ST  &  PARK ROW ST,2023-11-22T19:12:04.000,11,2023,Traffic Violation,31-27-2.2,DUI Liqour or Drugs Resulting in Death,1,JDeschamps,2023-00096169-001,None,None
2023-00096048,CHALKSTONE AVE,2023-11-22T11:09:00.000,11,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,Central Station,2023-00096048-001,None,None
2023-00096037,MELROSE ST,2023-11-22T09:58:00.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,Central Station,2023-00096037-001,None,None
2023-00502609,CHARLES ST,2023-11-21T20:31:02.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,2023-00502609-001,None,None
2023-00502607,0 Block WILLOW,2023-11-21T17:21:15.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MTroia,2023-00502607-001,None,Larceny-theft
2023-00095783,400 Block BROADWAY,2023-11-21T14:06:00.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,DLiu,2023-00095783-001,None,Larceny-theft
2023-00095576,DEAN ST,2023-11-20T19:34:00.000,11,2023,Property Damage,Not Used,No violations,0,Central Station,2023-00095576-001,None,None
2023-00502595,0 Block DAVE GAVITT WAY,2023-11-20T13:43:55.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,2023-00502595-001,None,None
2023-00095465,DEXTER ST,2023-11-20T10:51:00.000,11,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,Central Station,2023-00095465-001,None,Larceny-theft
2023-00095460,0 Block LUONGO SQ,2023-11-20T10:30:00.000,11,2023,Trespass,Not Used,No Violations,0,SCooney,2023-00095460-001,None,None
2023-00095333,FRIENDSHIP ST,2023-11-19T20:10:00.000,11,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,Central Station,2023-00095333-001,None,None
2023-00502590,PARKING LOT ATWELLS & BROADWAY,2023-11-18T23:22:13.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,2023-00502590-001,None,None
2023-00502586,0 Block BROADWAY,2023-11-18T21:47:01.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,2023-00502586-001,None,None
2023-00502585,100 Block SUMTER,2023-11-18T21:01:48.000,11,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,MTroia,2023-00502585-001,None,Larceny-theft
2023-00502583,REGENT,2023-11-18T19:02:25.000,11,2023,"Fraud, Credit Card",11-49-4,FRAUDULENT USE OF CREDIT CARDS,1,MTroia,2023-00502583-001,None,None
2023-00502581,0 Block SANDRINGHAM AVE,2023-11-18T12:19:45.000,11,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,2023-00502581-001,None,None
