casenumber,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer,latitude,longitude
2023-00083015,0 Block KELLEY ST,2023-10-09T11:31:23.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,JCortorreal,,
2023-00502260,0 Block ALMY,2023-10-08T08:09:33.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,,
2023-00502259,0 Block WESCOTT AVE,2023-10-07T15:24:01.000,10,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,NField,,
2023-00082452,0 Block E GERORGE ST,2023-10-07T13:43:15.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/O $1500 - FROM MV,1,CFernandez,,
2023-00082283,100 Block OAKLAND AVE,2023-10-07T00:27:15.000,10,2023,Auto Towed,Not Used,Parking or MV Violation,0,NColicci,,
2023-00082101,0 Block VANDEWATER ST,2023-10-06T16:12:00.000,10,2023,Request for Assistance,Not Used,No Violations,0,MLabutti,,
2023-00082081,0 Block GRAND ST,2023-10-06T15:18:00.000,10,2023,Fraud,Not Used,"Under Investigation, Offense Pending",0,ESoloman,,
2023-00081830,0 Block PLEASANT VALLEY PKY,2023-10-05T20:20:37.000,10,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,RSanchez,,
2023-00081633,100 Block ANGEL ST,2023-10-05T08:16:00.000,10,2023,Alarm-Residental,Not Used,No Violations,0,GPereira,,
2023-00502236,100 Block PUMGANSETT,2023-10-04T20:29:21.000,10,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,NField,,
2023-00502234,100 Block CHARLES,2023-10-04T18:37:45.000,10,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - ALL OTH LARCENY,1,NField,,
2023-00502229,200 Block NE PARK AVE,2023-10-04T11:04:01.000,10,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,,
2023-00081306,300 Block WEST FOUNTAIN ST,2023-10-04T07:27:08.000,10,2023,Auto Towed,Not Used,Parking or MV Violation,0,JAbatiello,,
2023-00081192,0 Block OF THE ARTS,2023-10-03T20:58:00.000,10,2023,Larceny - Theft,Not Used,"Under Investigation, Offense Pending",0,KHeron,,
2023-00081118,0 Block FINANCE WAY,2023-10-03T16:58:00.000,10,2023,Narcotics Violation,Not Used,"Under Investigation, Offense Pending",0,KHeron,,
2023-00081020,0 Block WATER ST,2023-10-03T11:57:00.000,10,2023,Disorderly Conduct,11-45-1,DISORDERLY CONDUCT,1,Central Station,,
2023-00080997,0 Block LEANDER ST,2023-10-03T10:10:50.000,10,2023,RI Statute Violation,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,1,KWilliams,,
2023-00080997,0 Block LEANDER ST,2023-10-03T10:10:50.000,10,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,KWilliams,,
2023-00080019,200 Block SHIPYARD ST,2023-09-30T07:59:57.000,9,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NULL,,
2023-00079846,100 Block OAKLAND AVE,2023-09-29T17:27:12.000,9,2023,Stolen Vehicle\Recovered,Not Used,No Violations,0,SCerullo,,
2023-00502197,0 Block HAMMOND,2023-09-29T16:11:35.000,9,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,,
2023-00079703,0 Block FINANCE WAY,2023-09-29T07:50:00.000,9,2023,RI Statute Violation,12-9-16,WARRANT OF ARREST ON AFFIDAVIT - ALL OTH OFFENSE,1,CFernandez,,
2023-00079607,0 Block PORTLAND ST,2023-09-28T20:30:00.000,9,2023,Property Damage,Not Used,No Violations,0,DMartinez,,
2023-00079497,200 Block SPRAGUE AVE,2023-09-28T13:54:00.000,9,2023,Stolen Vehicle\Recovered,Not Used,No Violations,0,NULL,,
2023-00079485,0 Block DEBORAH,2023-09-28T13:04:25.000,9,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,SSesay,,
2023-00079421,0 Block EXCHANGE TER,2023-09-28T08:51:00.000,9,2023,Motor Vehicle Theft,11-41-1,LARCENY/O $1500 - AUTO THEFT,1,VTavarez,,
2023-00079346,0 Block RUTLAND ST,2023-09-27T22:14:32.000,9,2023,Request for Assistance,Not Used,No Violations,0,HVentura,,
2023-00079161,400 Block PLEASANT VALLEY PKY,2023-09-27T10:14:00.000,9,2023,Stolen Vehicle\Recovered,Not Used,No Violations,0,GScarcello,,
2023-00079109,0 Block NARR AVE,2023-09-27T06:49:00.000,9,2023,Auto Towed,Not Used,Parking or MV Violation,0,JAbatiello,,
2023-00502165,100 Block DODGE,2023-09-27T00:10:01.000,9,2023,"Fraud, Swindle",11-49.1-3,IDENTITY FRAUD - FALSE PRETENSE,1,NField,,
2023-00078754,200 Block DEXTER SRT,2023-09-26T06:54:00.000,9,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,LFernandez,,
2023-00502164,100 Block OAKLAND AVE,2023-09-26T03:10:06.000,9,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,,
2023-00502153,0 Block WILLOW,2023-09-26T02:40:03.000,9,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,,
2023-00502146,0 Block HEREFORD,2023-09-26T02:20:06.000,9,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,,
2023-00502145,0 Block THOMAS OLNEY COMMONS,2023-09-24T13:20:15.000,9,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,NField,,
2023-00502140,0 Block THOMAS OLNEY COMMON,2023-09-24T13:20:12.000,9,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,NField,,
2023-00078184,100 Block OAKLAND AVE,2023-09-24T01:03:18.000,9,2023,Municipal Code Violation,Sec. 16-93.,"Noise Control - Radios, television sets, and similar devices.",1,RSanchez,,
2023-00077992,100 Block COURTLAND ST,2023-09-23T10:42:00.000,9,2023,Auto Towed,Not Used,Parking or MV Violation,0,CNicholls,,
