casenumber,location,reported_date,month,year,offense_desc,statute_code,statute_desc,counts,reporting_officer,unique_id,latitude,longitude,source,violent_cat,property_cat
2023-00100834,0 Block WASHINGTON ST,2023-12-10T02:18:00.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,GGenao,2023-00100834-002,41.823515016000044,-71.41391062449998,E911,None,None
2023-00100834,0 Block WASHINGTON ST,2023-12-10T02:18:00.000,12,2023,RI Statute Violation,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,1,GGenao,2023-00100834-003,41.823515016000044,-71.41391062449998,E911,None,None
2023-00100831,100 Block SPRUCE ST,2023-12-10T02:10:18.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,STeran,2023-00100831-001,41.82440994350006,-71.42803176199996,E911,None,None
2023-00100828,HAROLD ST &  AURORA ST,2023-12-10T02:00:30.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,SSesay,2023-00100828-001,41.827590942007994,-71.43792725350455,RIDOT,None,None
2023-00100822,TOCKWOTTON ST &  BRIDGE ST,2023-12-10T01:50:00.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MRoman,2023-00100822-001,41.816524499507416,-71.40085602071528,RIDOT,None,None
2023-00100816,TOCKWOTTON ST &  BRIDGE ST,2023-12-10T01:36:00.000,12,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MRoman,2023-00100816-001,41.816524499507416,-71.40085602071528,RIDOT,None,Larceny-theft
2023-00100816,TOCKWOTTON ST &  BRIDGE ST,2023-12-10T01:36:00.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MRoman,2023-00100816-002,41.816524499507416,-71.40085602071528,RIDOT,None,None
2023-00100815,400 Block ATWELLS AVE,2023-12-10T01:31:30.000,12,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,EPerry,2023-00100815-001,41.82387350350004,-71.43191755649997,E911,None,Larceny-theft
2023-00100815,400 Block ATWELLS AVE,2023-12-10T01:31:30.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,EPerry,2023-00100815-002,41.82387350350004,-71.43191755649997,E911,None,None
2023-00100813,0 Block HILLSIDE AVE,2023-12-10T01:23:00.000,12,2023,Request for Assistance,Not Used,No Violations,0,JLewis,2023-00100813-001,41.85655315200003,-71.39673355049996,E911,None,None
2023-00100800,300 Block MONTGOMERY AVE,2023-12-10T00:37:00.000,12,2023,"Assault, Aggravated",11-5-2,FELONY ASSAULT,1,MAndrade,2023-00100800-001,41.785999730500066,-71.40397799449997,E911,Aggravated Assault,None
2023-00502743,200 Block N MAIN ST,2023-12-10T00:34:37.000,12,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MTroia,2023-00502743-001,41.83060979500004,-71.41028822149997,E911,None,Larceny-theft
2023-00100792,200 Block ALLENS AVE,2023-12-10T00:16:00.000,12,2023,RI Statute Violation,12-7-10,RESISTING LEGAL OR ILLEGAL ARREST,1,BMacedo,2023-00100792-001,41.80656455700006,-71.40286065449996,E911,None,None
2023-00100792,200 Block ALLENS AVE,2023-12-10T00:16:00.000,12,2023,RI Statute Violation,11-32-1,OBSTRUCTING OFFICER IN EXECUTION OF DUTY,1,BMacedo,2023-00100792-002,41.80656455700006,-71.40286065449996,E911,None,None
2023-00100792,200 Block ALLENS AVE,2023-12-10T00:16:00.000,12,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,2,BMacedo,2023-00100792-003,41.80656455700006,-71.40286065449996,E911,None,None
2023-00100788,200 Block ALLENS AVE,2023-12-10T00:08:18.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,2,BMcDonnell,2023-00100788-001,41.80656455700006,-71.40286065449996,E911,None,None
2023-00100772,100 Block LAURA ST,2023-12-09T23:22:41.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROP,1,KLudovici,2023-00100772-001,41.80076234550006,-71.42323566999994,E911,None,None
2023-00100772,100 Block LAURA ST,2023-12-09T23:22:41.000,12,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT/BATTERY,1,KLudovici,2023-00100772-002,41.80076234550006,-71.42323566999994,E911,None,None
2023-00100770,0 Block DEARBORN ST,2023-12-09T23:17:02.000,12,2023,"Assault, Simple",11-5-3,SIMPLE ASSAULT OR BATTERY,1,RSanchez,2023-00100770-001,41.82420942550007,-71.45359669499996,E911,None,None
2023-00100769,0 Block HUDSON ST,2023-12-09T23:12:00.000,12,2023,DUI,31-27-2,Driving Under the Influence of Liqour or Drugs (=>.08<.1),1,RByfield,2023-00100769-001,41.81343246200004,-71.43404012049996,E911,None,None
2023-00100774,0 Block WOONASQUATUCKET AVE,2023-12-09T22:40:37.000,12,2023,Burglary,11-8-1.1,ATTEMPTED BREAKING AND ENTERING,1,BJohnson,2023-00100774-001,41.83669004950005,-71.47011482549996,E911,None,Burglary
2023-00502740,0 Block GASPEE STREET,2023-12-09T19:40:45.000,12,2023,Larceny from Motor Vehicle,11-41-1,LARCENY/U $1500 - FROM MV,1,MTroia,2023-00502740-001,41.83052554300008,-71.41318318799995,E911,None,Larceny-theft
2023-00502739,100 Block RADCLIFFE AVE,2023-12-09T18:55:51.000,12,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,MTroia,2023-00502739-001,41.84023215050004,-71.43076648699994,E911,None,Larceny-theft
2023-00502738,400 Block MORRIS AVE,2023-12-09T18:53:51.000,12,2023,"Larceny, Other",11-41-1,LARCENY/U $1500 - OTH LAR,1,MTroia,2023-00502738-001,41.84509183550006,-71.39551252099994,E911,None,Larceny-theft
2023-00100677,0 Block PROVIDENCE PL,2023-12-09T18:15:30.000,12,2023,"Larceny, Shoplifting",11-41-20,SHOPLIFTING-MISD - SHOPLIFTING,1,CMain,2023-00100677-001,41.827849931500054,-71.41595903999996,E911,None,Larceny-theft
2023-00100669,0 Block DEXTER ST,2023-12-09T17:28:00.000,12,2023,"Assault, Aggravated",11-5-2,FELONY ASSAULT/ DANG. WEAPON OR SUBSTANCE,1,VLopez,2023-00100669-001,41.815099987500076,-71.43072913849997,E911,Aggravated Assault,None
2023-00502737,0 Block CUTLER ST,2023-12-09T17:27:41.000,12,2023,Vandalism,11-44-1,VANDALISM/MALICIOUS INJURY TO PROPERTY,1,MTroia,2023-00502737-001,41.82403470600005,-71.44160084599997,E911,None,None
2023-00100655,500 Block CRANSTON ST,2023-12-09T16:27:00.000,12,2023,Drug Offenses,21-28-4.01-C1A,POSSESSION OF SCHEDULE I II III,1,EAlarcon,2023-00100655-001,41.80845960500005,-71.43429839599995,E911,None,None
